HGNC Symbol	2019 paper	Ensembl	MGI	2011 paper	Sum
39326	true	false	false	false	1
AATBC	true	false	false	false	1
ABCB10	true	false	false	false	1
ABCC12	true	false	false	false	1
ABCC6	true	false	false	false	1
ABCD1P2	true	false	false	false	1
ABCD1P5	true	false	false	false	1
ABCD4	true	false	false	false	1
ABHD17A	true	false	false	false	1
ABHD17AP1	true	false	false	false	1
AC005042.4	true	false	false	false	1
AC005488.11	true	false	false	false	1
AC008132.13	true	false	false	false	1
AC008132.15	true	false	false	false	1
AC026271.5	true	false	false	false	1
AC027612.6	true	false	false	false	1
AC062028.1	true	false	false	false	1
AC083899.3	true	false	false	false	1
AC096670.3	true	false	false	false	1
AC111200.7	true	false	false	false	1
AC129778.2	true	false	false	false	1
AC138969.4	true	false	false	false	1
ACTR3B	true	false	false	false	1
ACVR1C	true	false	false	false	1
ADARB1	true	false	false	false	1
ADORA2A-AS1	true	false	false	false	1
AFF3	true	false	false	false	1
AGAP1	true	false	false	false	1
AGR3	true	false	false	false	1
AGT	true	false	false	false	1
AH9	true	false	false	false	1
AHRR	true	false	false	false	1
AL592528.1	true	false	false	false	1
AL772307.1	true	false	false	false	1
ALOX5	true	false	false	false	1
AMY1A	true	true	true	false	3
AMY1B	true	true	false	false	2
AMY2A	true	true	false	false	2
AMY2B	true	true	false	false	2
ANAPC1	true	false	false	false	1
ANGPTL5	true	true	true	false	3
ANKRD20A2P	true	false	false	false	1
ANKRD20A4P	true	false	false	false	1
ANKRD30A	true	true	true	false	3
ANKRD30BL	true	true	true	false	3
ANKRD30BP1	true	false	false	false	1
ANKRD62P1-PARP4P3	true	false	false	false	1
ANXA8L1	true	false	false	false	1
APEH	true	false	false	false	1
APOE	true	false	false	false	1
APOL1	true	false	false	false	1
APPBP2	true	false	false	false	1
AQP12B	true	false	false	false	1
AQP7	true	false	false	false	1
AQP7P1	true	false	false	false	1
AQP7P2	true	false	false	false	1
AQP7P4	true	false	false	false	1
AR	true	false	false	false	1
AREG	true	false	false	false	1
ARHGAP11A	true	false	false	false	1
ARHGAP11B	true	false	false	false	1
ARHGAP15	true	false	false	false	1
ARHGAP42	true	false	false	false	1
ARHGEF34P	true	false	false	false	1
ARHGEF35	true	true	true	false	3
ARHGEF5	true	false	false	false	1
ARL17A	true	false	true	false	2
ARMC10P1	true	false	false	false	1
ASPM	true	false	false	false	1
ATP9B	true	false	false	false	1
BAGE2	true	false	false	false	1
BAZ2A	true	true	false	false	2
BCRP7	true	false	false	false	1
BMPR1A	true	false	false	false	1
BOLA2	true	false	false	false	1
BOLL	true	false	false	false	1
BPIFA4P	true	false	false	false	1
BTNL10	true	false	false	false	1
BTNL2	true	false	false	false	1
BX255923.2	true	false	false	false	1
BZW1P2	true	false	false	false	1
C11orf80	true	false	false	false	1
LINC02897	true	false	false	false	1
MIR9-1HG	true	false	false	false	1
C20orf203	true	true	true	false	3
C21orf62-AS1	true	false	false	false	1
C2orf27A	true	false	false	false	1
CDRT15P10	true	false	false	false	1
CDRT15P5	true	false	false	false	1
CDRT15P14	true	false	false	false	1
CDRT15P3	true	false	false	false	1
C2orf78	true	false	false	false	1
C3orf36	true	false	false	false	1
CAPN1	true	false	false	false	1
CAPN10	true	false	false	false	1
KNL1	true	false	false	false	1
CASP12	true	false	false	false	1
CATSPER2	true	false	false	false	1
CBWD1	true	true	false	false	2
CBWD2	true	true	false	false	2
CBWD3	true	false	false	false	1
CBWD5	true	false	false	false	1
CBWD6	true	false	false	false	1
SGF29	true	false	false	false	1
CCDC127	true	false	false	false	1
CCDC74B	true	false	false	false	1
CCKAR	true	false	false	false	1
CCL18	true	false	false	false	1
CCL23	true	false	false	false	1
CCL4L1	true	true	false	false	2
CCT8L2	true	false	false	false	1
CCZ1B	true	false	false	false	1
CD24	true	false	false	false	1
CD33	true	false	false	false	1
CD44	true	false	false	false	1
CD8B	true	false	false	false	1
CD96	true	false	false	false	1
CDH12	true	false	false	false	1
CDK5RAP2	true	false	false	false	1
CDRT15P1	true	false	false	false	1
CELSR2	true	false	false	false	1
CEP170	true	false	false	false	1
CEP170P1	true	false	false	false	1
CES5AP1	true	false	false	false	1
CFAP99	true	false	false	true	2
CFC1	true	false	false	false	1
CFC1B	true	false	false	false	1
CHRFAM7A	true	false	false	false	1
CHRM3	true	false	false	false	1
CHRNA7	true	false	false	false	1
CLEC10A	true	false	false	false	1
CLLU1	true	false	false	true	2
CLTCL1	true	true	true	false	3
CMAHP	true	false	false	false	1
CNTNAP2	true	false	false	false	1
COMMD4	true	false	false	false	1
COPS7B	true	false	false	false	1
CORO1A	true	false	false	false	1
CRHR1	true	false	false	false	1
CROCC	true	false	false	false	1
CROCCP2	true	false	false	false	1
CSA7	true	false	false	false	1
CSAG1	true	true	true	false	3
CSH2	true	false	false	false	1
CSPG4	true	false	false	false	1
CT45A1	true	false	false	false	1
CT45A2	true	false	false	false	1
CT45A3	true	false	false	false	1
CTA-313A17.2	true	false	false	false	1
CTA-373H7.7	true	false	false	false	1
CTAGE15	true	false	true	false	2
CTAGE16P	true	false	false	false	1
CTD-2514C3.1	true	false	false	false	1
CTD-2561J22.2	true	false	false	false	1
EOLA1	true	false	false	false	1
EOLA2	true	false	false	false	1
CXorf49B	true	false	false	false	1
CYP3A5	true	false	false	false	1
DDR2	true	false	false	false	1
DDX11	true	false	false	false	1
DDX11L1	true	false	false	false	1
DDX11L10	true	false	false	false	1
DDX11L16	true	false	false	false	1
DDX11L2	true	false	false	false	1
DDX11L5	true	false	false	false	1
DDX11L8	true	false	false	false	1
DDX11L9	true	false	false	false	1
DDX12P	true	false	false	false	1
DDX54	true	false	false	false	1
DEFA1B	true	false	false	false	1
DEFA3	true	false	false	false	1
DEFA4	true	false	false	false	1
DEFA5	true	false	false	false	1
DEFA6	true	false	false	false	1
DEFB103B	true	false	false	false	1
DEFB104A	true	false	true	false	2
DEFB104B	true	false	true	false	2
DEFB105A	true	false	false	false	1
DEFB106A	true	true	false	false	2
DEFB109B	true	false	false	false	1
DEFB114	true	true	true	false	3
DEFB130A	true	false	false	false	1
DEFB132	true	false	true	false	2
DEFB4B	true	true	false	false	2
DGCR6L	true	false	false	false	1
DHFRP1	true	false	false	false	1
DHRS4L2	true	false	false	false	1
DIXDC1	true	false	false	false	1
DMRTC1B	true	true	false	false	2
DNAH10OS	true	true	true	true	4
DNM1P46	true	false	false	false	1
DOC2GP	true	false	false	false	1
DPY19L2	true	false	false	false	1
DRD5	true	false	false	false	1
DRD5P2	true	false	false	false	1
DSG3	true	true	false	false	2
DUSP22	true	false	false	false	1
DUSP7	true	false	false	false	1
DYNC1I2	true	false	false	false	1
E2F6	true	false	false	false	1
EBF1	true	false	false	false	1
ECHDC3	true	false	false	false	1
EIF1AY	true	true	false	false	2
EIF2S2P4	true	false	false	false	1
EIF3A	true	false	false	false	1
EIF3CL	true	false	false	false	1
ELN	true	false	false	false	1
ADGRE4P	true	false	false	false	1
ER9	true	false	false	false	1
ERCC5	true	false	false	false	1
ESPN	true	false	false	false	1
F8A2	true	false	false	false	1
F8A3	true	false	false	false	1
FA136B1	true	false	false	false	1
FA136B2	true	false	false	false	1
FAM133CP	true	false	false	false	1
FAM153A	true	true	true	false	3
FAM156A	true	false	false	false	1
FAM182B	true	false	false	false	1
WASHC2A	true	false	false	false	1
FAM228A	true	false	false	false	1
FAM230B	true	false	false	false	1
FAM25G	true	false	false	false	1
FAM27E5	true	false	false	false	1
SHLD2P3	true	false	false	false	1
FAM3C	true	false	false	false	1
FAM3C2P	true	false	false	false	1
FAM66B	true	false	false	false	1
FAM72A	true	false	false	false	1
FAM72B	true	false	false	false	1
FAM72C	true	false	false	false	1
FAM72D	true	false	false	false	1
FAM74A1	true	false	false	false	1
FAM90A14	true	false	false	false	1
FAM90A22	true	false	false	false	1
FAM90A2P	true	false	false	false	1
FAM90A5P	true	false	false	false	1
FAM95B1	true	false	false	false	1
FANK1	true	false	false	false	1
FBXO25	true	false	false	false	1
FCGR1A	true	false	false	false	1
FCGR1BP	true	false	false	false	1
FCGR2B	true	false	false	false	1
FCGR2C	true	false	true	false	2
FCGR3A	true	false	false	false	1
FCGR3B	true	false	false	false	1
FGF7	true	false	false	false	1
FGF7P2	true	false	false	false	1
FKBP6	true	false	false	false	1
FKBP9	true	false	false	false	1
FKBP9P1	true	false	false	false	1
LINC02076	true	false	false	false	1
FMNL1	true	false	false	false	1
FMO2	true	false	false	false	1
FOLH1B	true	false	false	false	1
FOXD4	true	false	false	false	1
FOXD4L4	true	false	false	false	1
FOXD4L5	true	false	false	false	1
FOXP2	true	false	false	false	1
FOXS1	true	false	false	false	1
FR7B	true	false	false	false	1
FRMPD2	true	false	false	false	1
FRMPD2B	true	false	false	false	1
FUT8	true	false	false	false	1
FXYD2	true	false	false	false	1
FZD8	true	false	false	false	1
GADD45G	true	false	false	false	1
GAGE1	true	true	true	false	3
GAGE10	true	true	true	false	3
GAGE12E	true	true	true	false	3
GAGE2A	true	true	true	false	3
GALNT10	true	false	false	false	1
GALT	true	false	false	false	1
CASTOR3	true	true	false	false	2
GBX2	true	false	false	false	1
GG19P	true	false	false	false	1
GGT2	true	false	false	false	1
GGTLC2	true	false	false	false	1
GH2	true	false	false	false	1
CBLIF	true	false	false	false	1
GKAP1	true	false	false	false	1
GLG1	true	false	false	false	1
GLI2	true	false	false	false	1
GLRA1	true	false	false	false	1
GLRA4	true	false	false	false	1
GLUD2	true	true	false	false	2
GNB5	true	false	false	false	1
GOLGA6L10	true	true	true	false	3
GOLGA8A	true	false	false	false	1
GOLGA8B	true	false	false	false	1
GOLGA8EP	true	false	false	false	1
GOLGA8F	true	false	true	false	2
GOLGA8G	true	false	true	false	2
ADGRF5	true	false	false	false	1
GPR33	true	false	false	false	1
GPR39	true	false	false	false	1
GPR42	true	false	false	false	1
ADGRG1	true	false	false	false	1
GPR89A	true	false	false	false	1
GPRIN2	true	false	false	false	1
GR13	true	false	false	false	1
GRAP	true	false	false	false	1
GRAPL	true	false	false	false	1
GRIN2C	true	false	false	false	1
GRIN3A	true	false	false	false	1
GSTT2B	true	false	false	false	1
GTF2H2	true	false	false	false	1
GTF2H2B	true	false	false	false	1
GTF2H2C	true	false	false	false	1
GTF2I	true	false	false	false	1
GTF2IP1	true	false	false	false	1
GTF2IRD2	true	false	false	false	1
GTF2IRD2P1	true	false	false	false	1
GTF3C2	true	false	false	false	1
GTF3C5	true	false	false	false	1
GUSBP2	true	false	false	false	1
GYPA	true	false	false	false	1
GYPB	true	false	false	false	1
GYPC	true	false	false	false	1
GYPE	true	false	false	false	1
GZMA	true	false	false	false	1
HAND1	true	false	false	false	1
HAR1A	true	false	false	false	1
HAR1B	true	false	false	false	1
HCP5	true	false	false	false	1
HERC2	true	false	false	false	1
HGS	true	false	false	false	1
HIC2	true	false	false	false	1
H2AC19	true	true	false	false	2
H2BC18	true	false	false	false	1
H3C15	true	false	true	false	2
H3C14	true	true	true	false	3
H4C14	true	true	true	false	3
H4C15	true	false	false	false	1
HNRNPCP2	true	false	false	false	1
HR	true	false	false	false	1
HRH1	true	false	false	false	1
HS6ST1P1	true	false	false	false	1
HTR3E	true	true	true	false	3
HYDIN	true	false	false	false	1
HYDIN2	true	false	false	false	1
ICAM1	true	false	false	false	1
IFNL1	true	true	false	false	2
IGKV1-13	true	false	false	false	1
IGKV2-26	true	false	false	false	1
IGKV2-4	true	false	false	false	1
IGKV2D-10	true	false	false	false	1
IL26	true	true	true	false	3
IL9R	true	false	false	false	1
JAM3	true	false	false	false	1
KANK1	true	false	false	false	1
KANSL1	true	false	false	false	1
KCTD5	true	false	false	false	1
PCLAF	true	false	false	false	1
FAM30A	true	false	false	false	1
KIAA0319L	true	false	false	false	1
KIF18A	true	false	false	false	1
KIF26B	true	false	false	false	1
KIR3DL1	true	false	false	false	1
KIRREL1	true	false	false	false	1
KITLG	true	false	false	false	1
KLHL24	true	false	false	false	1
KMT2C	true	false	false	false	1
KRT16	true	false	false	false	1
KRT17	true	false	false	false	1
KRT17P4	true	false	false	false	1
KRT17P7	true	false	false	false	1
KRT41P	true	false	false	false	1
KRTAP5-6	true	false	false	false	1
LCT	true	false	false	false	1
LEPR	true	false	false	false	1
LGALS9B	true	true	false	false	2
LILRB3	true	false	false	false	1
CYTOR	true	false	false	false	1
LINC00240	true	false	false	false	1
LINC00266-1	true	false	false	false	1
LINC00266-3	true	false	false	false	1
LINC00314	true	false	false	false	1
ANKRD40CL	true	false	false	true	2
LINC00523	true	false	false	true	2
LINC00632	true	false	false	false	1
LINC00680	true	false	false	false	1
LINC00955	true	false	false	false	1
LINC01102	true	false	false	false	1
LMAN1L	true	false	false	false	1
LRPAP1	true	false	false	false	1
LRRC37A	true	false	true	false	2
LRRC37A3	true	false	true	false	2
LRRC37A4P	true	false	false	false	1
LRRC58	true	false	false	false	1
LYPD1	true	false	false	false	1
MAGEA3	true	true	false	false	2
MAL2	true	false	false	false	1
MALL	true	false	false	false	1
MAOA	true	false	false	false	1
MAPT	true	false	false	false	1
MCPH1	true	false	false	false	1
MEP1A	true	true	false	false	2
METTL15P1	true	false	false	false	1
MI1748-1	true	false	false	false	1
MI1748-2	true	false	false	false	1
MI1779	true	false	false	false	1
MI1790	true	false	false	false	1
MICA	true	true	false	false	2
MIR1229	true	false	false	false	1
MIR1302-10	true	false	false	false	1
MIR1302-11	true	false	false	false	1
MIR1302-2	true	false	false	false	1
MIR1537	true	false	false	false	1
MIR3136	true	false	false	false	1
MIR3911	true	false	false	false	1
MIR4322	true	false	false	false	1
MIR4465	true	false	false	false	1
MIR4487	true	false	false	false	1
MIR4530	true	false	false	false	1
MIR4649	true	false	false	false	1
MIR466	true	false	false	false	1
MIR4739	true	false	false	false	1
MIR4781	true	false	false	false	1
MIR4804	true	false	false	false	1
MIR5095	true	false	false	false	1
MIR572	true	false	false	false	1
MIR941-1	true	false	false	false	1
MIR941-2	true	false	false	false	1
MIR941-4	true	false	false	false	1
MIR941-5	true	false	false	false	1
MMP23A	true	false	false	false	1
MOXD2P	true	false	false	false	1
MPPE1	true	false	false	false	1
MRC1	true	false	false	false	1
MRGPRG	true	false	false	false	1
MRGPRG-AS1	true	false	false	false	1
MSI2	true	false	false	false	1
MST1	true	false	false	false	1
MST1L	true	false	false	false	1
MST1P2	true	false	false	false	1
MUC19	true	true	false	false	2
MUC20	true	false	false	false	1
MYCNOS	true	false	false	false	1
MYEOV	true	true	true	false	3
MYH16	true	false	false	false	1
MYLK2	true	false	false	false	1
MYO7B	true	false	false	false	1
NAIP	true	true	false	false	2
NANOGP8	true	false	false	false	1
NARF	true	false	false	false	1
NAT1	true	true	false	false	2
NBEA	true	false	false	false	1
NBPF1	true	true	true	false	3
NBPF10	true	true	true	false	3
NBPF12	true	true	true	false	3
NBPF14	true	true	true	false	3
NBPF15	true	true	true	false	3
NBPF17P	true	false	false	false	1
NBPF3	true	true	true	false	3
NBPF8	true	false	false	false	1
NCF1	true	false	false	false	1
NCF1B	true	false	false	false	1
NCF1C	true	false	false	false	1
NCKAP5	true	false	false	false	1
NEK2	true	false	false	false	1
NEMF	true	false	false	false	1
NLGN4X	true	true	false	false	2
NLN	true	false	false	false	1
NOMO3	true	false	false	false	1
NOTCH2NLA	true	true	true	false	3
NPAS3	true	false	false	false	1
NPIPA1	true	true	true	false	3
NPIPB11	true	true	true	false	3
NPIPB3	true	true	true	false	3
NPIPB9	true	true	true	false	3
NR1H2	true	false	false	false	1
NRXN3	true	false	false	false	1
NSF	true	false	false	false	1
NSUN5	true	false	false	false	1
NSUN5P1	true	false	false	false	1
NSUN5P2	true	false	false	false	1
NUDT4	true	false	false	false	1
NUTM2A	true	false	true	false	2
NUTM2B	true	false	false	false	1
NUTM2D	true	false	false	false	1
OBSCN	true	false	false	false	1
OCLN	true	false	false	false	1
OCM	true	false	false	false	1
OPHN1	true	false	false	false	1
OPN1MW	true	false	true	false	2
OPRM1	true	false	false	false	1
OR10A2	true	false	false	false	1
OR10AC1	true	true	false	false	2
OR10D1P	true	false	false	false	1
OR10J4	true	true	true	false	3
OR10J8P	true	false	false	false	1
OR10R3P	true	false	false	false	1
OR10T1P	true	false	false	false	1
OR11H1	true	true	true	false	3
OR11H13P	true	false	false	false	1
OR11H5P	true	false	false	false	1
OR11H7	true	false	false	false	1
OR12D1	true	true	false	false	2
OR13D2P	true	false	false	false	1
OR1S1	true	false	false	false	1
OR2A13P	true	false	false	false	1
OR2A20P	true	false	false	false	1
OR2A4	true	false	false	false	1
OR2A42	true	false	false	false	1
OR2A5	true	false	false	false	1
OR2A7	true	false	false	false	1
OR2A9P	true	false	false	false	1
OR2T5	true	false	false	false	1
OR2T7	true	true	true	false	3
OR2W3	true	false	false	false	1
OR4A5	true	false	false	false	1
OR4C13	true	false	false	false	1
OR4C1P	true	false	false	false	1
OR4C46	true	false	false	false	1
OR4F16	true	false	true	false	2
OR4F17	true	false	true	false	2
OR4F21	true	false	false	false	1
OR4F3	true	false	true	false	2
OR4F4	true	false	false	false	1
OR4F5	true	false	true	false	2
OR4K3	true	true	true	false	3
OR4L1	true	false	false	false	1
OR4M1	true	false	false	false	1
OR4M2	true	false	false	false	1
OR4N2	true	true	false	false	2
OR4N4	true	false	true	false	2
OR4Q3	true	false	false	false	1
OR51A5P	true	false	false	false	1
OR51A8P	true	false	false	false	1
OR51J1	true	true	false	false	2
OR51P1P	true	false	false	false	1
OR52E2	true	false	false	false	1
OR52E3P	true	false	false	false	1
OR52J3	true	false	false	false	1
OR52P2P	true	false	false	false	1
OR5AL1	true	false	false	false	1
OR5AL2P	true	false	false	false	1
OR5AN2P	true	false	false	false	1
OR5B12	true	false	false	false	1
OR5H8	true	false	false	false	1
OR5J1P	true	false	false	false	1
OR5L2	true	false	false	false	1
OR6B3	true	false	false	false	1
OR6D1P	true	false	false	false	1
OR6K4P	true	false	false	false	1
OR6W1P	true	false	false	false	1
OR7D4	true	false	false	false	1
OR7E102P	true	false	false	false	1
OR7E91P	true	false	false	false	1
OR9M1P	true	false	false	false	1
OR9Q1	true	false	false	false	1
OTOP1	true	false	false	false	1
OTUD7A	true	false	false	false	1
OXGR1	true	false	false	false	1
PAIP1	true	false	false	false	1
PAK2	true	false	false	false	1
PARG	true	false	false	false	1
PARP4	true	false	false	false	1
PBOV1	true	true	true	false	3
PCD8X	true	false	false	false	1
PCD8Y	true	false	false	false	1
PCDH15	true	false	false	false	1
PCDHA2	true	false	false	false	1
PCDHA5	true	false	false	false	1
PCDHB10	true	false	false	false	1
PCDHB11	true	false	false	false	1
PCDHB12	true	false	false	false	1
PCDHB13	true	false	false	false	1
PCDHB14	true	false	false	false	1
PCDHB15	true	false	false	false	1
PCDHB6	true	false	false	false	1
PDCD4	true	false	false	false	1
PDCD6	true	false	false	false	1
PDE4DIP	true	false	false	false	1
PDGFD	true	false	false	false	1
PDPR	true	false	false	false	1
PDZD3	true	false	false	false	1
PDZK1P1	true	false	false	false	1
PGA5	true	true	false	false	2
PGAM1P10	true	false	false	false	1
PHC1P1	true	false	false	false	1
PI4KA	true	false	false	false	1
PI4KAP2	true	false	false	false	1
PKD1	true	false	false	false	1
PLEKHA3	true	false	false	false	1
PLEKHM1	true	false	false	false	1
PLEKHM1P1	true	false	false	false	1
PLGLB1	true	false	true	false	2
PMCHL2	true	false	false	false	1
PMP2	true	false	false	false	1
PMS2P5	true	false	false	false	1
POLR2J2	true	true	true	false	3
POM121	true	false	false	false	1
POM121B	true	false	false	false	1
POM121L1P	true	false	false	false	1
POM121L4P	true	false	false	false	1
POMZP3	true	false	false	false	1
PON1	true	false	false	false	1
PPARG	true	false	false	false	1
PPIP5K1	true	false	false	false	1
PPIP5K2	true	false	false	false	1
PPP1R12B	true	false	false	false	1
PRAME	true	true	false	false	2
PRAMEF25	true	false	true	false	2
PRDM2	true	false	false	false	1
PRIM2	true	false	false	false	1
PRKCB	true	false	false	false	1
PRKCH	true	false	false	false	1
PRKDC	true	false	false	false	1
PRM2	true	false	false	false	1
PRR20B	true	true	true	false	3
PTPN1	true	false	false	false	1
PTPN20	true	false	false	false	1
PVRIG	true	false	false	false	1
RAB21	true	false	false	false	1
RAB3A	true	false	false	false	1
RAB3B	true	false	false	false	1
RAB3IP	true	false	false	false	1
RAB6C	true	true	true	false	3
RANBP2	true	false	false	false	1
RASA4	true	false	false	false	1
RB13A	true	false	false	false	1
RB1CC1	true	false	false	false	1
RBM39	true	false	false	false	1
RFPL4A	true	false	false	false	1
RGPD2	true	true	false	false	2
RGPD3	true	true	false	false	2
RGPD5	true	true	true	false	3
RGPD6	true	true	false	false	2
RGPD8	true	true	false	false	2
RGS6	true	false	false	false	1
RIBC2	true	false	false	false	1
RIIAD1	true	false	false	false	1
RIMBP3B	true	false	false	false	1
RIMBP3C	true	false	false	false	1
RNASE3	true	false	false	false	1
RNF123	true	false	false	false	1
ROCK1	true	false	false	false	1
RP1-12G14.7	true	false	false	false	1
RP11-1018N14.2	true	false	false	false	1
RP11-1023L17.1	true	false	false	false	1
RP11-1212A22.1	true	false	false	false	1
RP11-122C21.1	true	false	false	false	1
RP11-1319K7.1	true	false	false	false	1
RP11-15J10.1	true	false	false	false	1
RP11-204M4.2	true	false	false	false	1
RP11-239H6.2	true	false	false	false	1
RP11-24M17.5	true	false	false	false	1
RP11-262H14.11	true	false	false	false	1
RP11-262H14.4	true	false	false	false	1
RP11-395L14.13	true	false	false	false	1
RP11-395L14.17	true	false	false	false	1
RP11-404K5.2	true	false	false	false	1
RP11-423H2.1	true	false	false	false	1
RP11-460N11.2	true	false	false	false	1
RP11-466P24.6	true	false	false	false	1
RP11-475I24.9	true	false	false	false	1
RP11-497H16.5	true	false	false	false	1
RP11-503N18.1	true	false	false	false	1
RP11-514P8.6	true	false	false	false	1
RP11-556K13.1	true	false	false	false	1
RP11-574E24.3	true	false	false	false	1
RP11-683L23.1	true	false	false	false	1
RP11-706O15.5	true	false	false	false	1
RP11-706O15.7	true	false	false	false	1
RP11-707M1.1	true	false	false	false	1
RP11-754I20.1	true	false	false	false	1
RP11-756P10.3	true	false	false	false	1
RP11-79C23.1	true	false	false	false	1
RP11-830F9.6	true	false	false	false	1
RP11-96J15.2	true	false	false	false	1
RP13-1039J1.2	true	false	false	false	1
RP13-395E19.3	true	false	false	false	1
RP13-507P19.2	true	false	false	false	1
RPL14P1	true	false	false	false	1
RPL15P3	true	false	false	false	1
RPL18AP8	true	false	false	false	1
RPL23AP53	true	false	false	false	1
RPL23AP82	true	false	false	false	1
RPL7P1	true	false	false	false	1
RPL7P9	true	false	false	false	1
RPS26P3	true	false	false	false	1
RPS26P6	true	false	false	false	1
RPS26P8	true	false	false	false	1
SAP30L	true	false	false	false	1
SC7	true	false	false	false	1
SCML4	true	false	false	false	1
SDHA	true	false	false	false	1
SDHAP1	true	false	false	false	1
SEC24C	true	false	false	false	1
SEC24D	true	false	false	false	1
SEMA5B	true	false	false	false	1
SERF1A	true	false	false	false	1
SERF1B	true	true	false	false	2
SERPINA13P	true	false	false	false	1
SFTPA1	true	false	false	false	1
SFTPA2	true	false	false	false	1
SFXN2	true	false	false	false	1
SH3PXD2A	true	false	false	false	1
SIGLEC11	true	false	false	false	1
SLC12A5	true	false	false	false	1
SLC13A1	true	false	false	false	1
SLC29A4	true	false	false	false	1
SLC29A4P1	true	false	false	false	1
SLC29A4P2	true	false	false	false	1
SLC4A1	true	false	false	false	1
SLC4A1AP	true	false	false	false	1
SLC6A13	true	false	false	false	1
SLC6A15	true	true	false	false	2
SLC6A4	true	false	false	false	1
SLC7A6	true	false	false	false	1
SLC9B1P2	true	false	false	false	1
SLX1A	true	false	false	false	1
SLX1B	true	false	false	false	1
SLX1B-SULT1A4	true	false	false	false	1
SMAD5	true	false	false	false	1
SMN1	true	false	false	false	1
SMN2	true	false	false	false	1
SNORA12	true	false	false	false	1
SNX29	true	false	false	false	1
SPACA5B	true	false	false	false	1
SPAG11A	true	false	true	false	2
SPAG5	true	false	false	false	1
SPANXA1	true	true	true	false	3
SPANXA2	true	true	true	false	3
SPANXA2-OT1	true	false	false	false	1
SPANXB1	true	true	true	false	3
SPANXC	true	true	true	false	3
SPANXD	true	true	true	false	3
SPANXN1	true	true	true	false	3
SPANXN2	true	true	true	false	3
SPANXN3	true	true	true	false	3
SPANXN5	true	true	true	false	3
SPATA31A1	true	true	false	false	2
